Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999421;16.998762;16.998621
5;;16.973631;16.943696;16.937310
10;;16.947364;16.887706;16.875023
15;;16.921147;16.831916;16.813014
20;;16.895032;16.776437;16.751404
25;;16.868913;16.721047;16.689945
30;;16.842844;16.665854;16.628760
30.1;14.000000;16.842844;16.665854;16.628760
30.2;14.000000;16.841803;16.663650;16.626318
35.2;14.000000;16.815785;16.608664;16.565416
40.2;14.000000;16.789816;16.553874;16.504784
45.2;14.000000;16.763844;16.499171;16.444302
50.2;14.000000;16.737973;16.444774;16.384210
55.2;14.000000;16.712151;16.390571;16.324385
60.1;14.000000;16.712151;16.390571;16.324385
60.2;14.000000;16.686378;16.336562;16.264826
65.2;14.000000;16.660654;16.282747;16.205533
70.2;14.000000;16.634978;16.229125;16.146503
75.2;14.000000;16.609401;16.175802;16.087853
80.2;14.000000;16.583822;16.122563;16.029347
85.2;14.000000;16.558291;16.069514;15.971101
90.1;14.000000;16.558291;16.069514;15.971101
90.2;14.000000;16.532808;16.016656;15.913115
95.2;14.000000;16.507373;15.963987;15.855387
100.2;14.000000;16.481986;15.911507;15.797915
105.2;14.000000;16.456648;15.859215;15.740699
110.2;14.000000;16.431357;15.807110;15.683738
115.2;14.000000;16.406113;15.755192;15.627030
120.1;14.000000;16.406113;15.755192;15.627030
120.2;14.000000;16.380918;15.703460;15.570575
125.2;14.000000;16.355769;15.651913;15.514371
130.2;14.000000;16.330669;15.600551;15.458417
135.2;14.000000;16.305616;15.549373;15.402712
140.2;14.000000;16.280610;15.498378;15.347255
145.2;14.000000;16.255651;15.447566;15.292045
150.1;14.000000;16.255651;15.447566;15.292045
150.2;14.000000;16.230739;15.396936;15.237081
155.2;14.000000;16.205874;15.346488;15.182361
160.2;14.000000;16.181007;15.296119;15.127776
165.2;14.000000;16.156236;15.246032;15.073542
170.2;14.000000;16.131512;15.196124;15.019550
175.2;14.000000;16.106835;15.146395;14.965798
180.1;14.000000;16.106835;15.146395;14.965798
180.2;14.000000;16.082204;15.096844;14.912286
185.2;14.000000;16.057619;15.047471;14.859011
190.2;14.000000;16.033081;14.998274;14.805974
195.2;14.000000;16.008590;14.949254;14.753172
200.2;14.000000;15.984144;14.900409;14.700606
205.2;14.000000;15.959745;14.851739;14.648274
210.1;14.000000;15.959745;14.851739;14.648274
210.2;14.000000;15.935392;14.803244;14.596174
215.2;14.000000;15.911084;14.754922;14.544306
220.2;14.000000;15.886823;14.706774;14.492669
225.2;14.000000;15.862607;14.658798;14.441262
230.2;14.000000;15.838437;14.610994;14.390084
235.2;14.000000;15.814313;14.563361;14.339133
240.1;14.000000;15.814313;14.563361;14.339133
240.2;14.000000;15.790234;14.515899;14.288410
245.2;14.000000;15.766201;14.468607;14.237912
250.2;14.000000;15.742213;14.421484;14.187638
255.2;14.000000;15.718270;14.374530;14.137589
260.2;14.000000;15.694373;14.327745;14.087762
265.2;14.000000;15.670520;14.281127;14.038157
270.1;14.000000;15.670520;14.281127;14.038157
270.2;14.000000;15.646713;14.234676;13.988772
275.2;14.000000;15.622950;14.188391;13.939608
280.2;14.000000;15.599233;14.142273;13.890662
285.2;14.000000;15.575560;14.096319;13.841934
290.2;14.000000;15.551932;14.050530;13.793423
295.2;14.000000;15.528348;14.004905;13.745127
300.1;14.000000;15.528348;14.004905;13.745127
300.2;14.000000;15.504809;13.959444;13.697047
305.2;14.000000;15.481314;13.914146;13.649181
310.2;14.000000;15.457864;13.869009;13.601527
315.2;14.000000;15.434458;13.824035;13.554086
320.2;14.000000;15.411096;13.779222;13.506856
325.2;14.000000;15.387778;13.734569;13.459836
330.1;14.000000;15.387778;13.734569;13.459836
330.2;14.000000;15.364504;13.690076;13.413025
335.2;14.000000;15.341274;13.645743;13.366423
340.2;14.000000;15.318088;13.601568;13.320028
345.2;14.000000;15.294946;13.557552;13.273839
350.2;14.000000;15.271847;13.513693;13.227856
355.2;14.000000;15.248792;13.469992;13.182078
360.1;14.000000;15.248792;13.469992;13.182078
360.2;14.000000;15.225781;13.426447;13.136503
365.2;14.000000;15.202812;13.383058;13.091132
370.2;14.000000;15.179888;13.339824;13.045962
375.2;14.000000;15.157006;13.296746;13.000993
380.2;14.000000;15.134168;13.253821;12.956224
385.2;14.000000;15.111373;13.211051;12.911655
390.1;14.000000;15.111373;13.211051;12.911655
390.2;14.000000;15.088621;13.168434;12.867283
395.2;14.000000;15.065911;13.125969;12.823110
400.2;14.000000;15.043245;13.083657;12.779133
405.2;14.000000;15.020621;13.041496;12.735351
410.2;14.000000;14.998040;12.999486;12.691765
415.2;14.000000;14.975502;12.957627;12.648372
420.1;14.000000;14.975502;12.957627;12.648372
420.2;14.000000;14.953006;12.915918;12.605173
425.2;14.000000;14.930553;12.874358;12.562165
430.2;14.000000;14.908142;12.832947;12.519349
435.2;14.000000;14.885773;12.791684;12.476724
440.2;14.000000;14.863447;12.750570;12.434289
445.2;14.000000;14.841163;12.709602;12.392042
450.1;14.000000;14.841163;12.709602;12.392042
450.2;14.000000;14.818920;12.668782;12.349983
455.2;14.000000;14.796720;12.628107;12.308111
460.2;14.000000;14.774562;12.587578;12.266426
465.2;14.000000;14.752445;12.547195;12.224926
470.2;14.000000;14.730371;12.506956;12.183611
475.2;14.000000;14.708337;12.466862;12.142480
480.1;14.000000;14.708337;12.466862;12.142480
480.2;14.000000;14.686346;12.426911;12.101532
485.2;14.000000;14.664396;12.387103;12.060766
490.2;14.000000;14.642487;12.347437;12.020182
495.2;14.000000;14.620620;12.307914;11.979778
500.2;14.000000;14.598794;12.268533;11.939554
505.2;14.000000;14.577009;12.229292;11.899509
510.1;14.000000;14.577009;12.229292;11.899509
510.2;14.000000;14.555265;12.190192;11.859642
515.2;14.000000;14.533563;12.151233;11.819952
520.2;14.000000;14.511901;12.112412;11.780440
525.2;14.000000;14.490280;12.073731;11.741103
