Situation;LivingroomLivingroom.radiatorSize;KitchenKitchen.radiatorSize;HallHall.radiatorSize;errHall;errKitchen;errLivingroom
ComfyBase;0.5;0.1;0.1;-1.012203;0.561123;-0.098082
ComfyBase;0.5;0.1;0.125;0.512460;0.561123;-0.098082
ComfyBase;0.5;0.1;0.15;1.807239;0.561123;-0.098082
ComfyBase;0.5;0.25;0.1;-1.012203;6.999858;-0.098082
ComfyBase;0.5;0.25;0.125;0.512460;6.999858;-0.098082
ComfyBase;0.5;0.25;0.15;1.807239;6.999858;-0.098082
ComfyBase;0.5;0.4;0.1;-1.012203;9.918100;-0.098082
ComfyBase;0.5;0.4;0.125;0.512460;9.918100;-0.098082
ComfyBase;0.5;0.4;0.15;1.807239;9.918100;-0.098082
ComfyBase;0.75;0.1;0.1;-3.066781;-1.757157;-0.028548
ComfyBase;0.75;0.1;0.125;-1.846161;-1.757157;-0.028548
ComfyBase;0.75;0.1;0.15;-0.809563;-1.757157;-0.028548
ComfyBase;0.75;0.25;0.1;-3.066781;3.377993;-0.028548
ComfyBase;0.75;0.25;0.125;-1.846161;3.377993;-0.028548
ComfyBase;0.75;0.25;0.15;-0.809563;3.377993;-0.028548
ComfyBase;0.75;0.4;0.1;-3.066781;5.706533;-0.028548
ComfyBase;0.75;0.4;0.125;-1.846161;5.706533;-0.028548
ComfyBase;0.75;0.4;0.15;-0.809563;5.706533;-0.028548
ComfyBase;1.0;0.1;0.1;-4.114218;-2.938779;-0.009583
ComfyBase;1.0;0.1;0.125;-3.048572;-2.938779;-0.009583
ComfyBase;1.0;0.1;0.15;-2.143560;-2.938779;-0.009583
ComfyBase;1.0;0.25;0.1;-4.114218;1.531470;-0.009583
ComfyBase;1.0;0.25;0.125;-3.048572;1.531470;-0.009583
ComfyBase;1.0;0.25;0.15;-2.143560;1.531470;-0.009583
ComfyBase;1.0;0.4;0.1;-4.114218;3.559382;-0.009583
ComfyBase;1.0;0.4;0.125;-3.048572;3.559382;-0.009583
ComfyBase;1.0;0.4;0.15;-2.143560;3.559382;-0.009583
