Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999146;16.999132;16.998758
5;;16.961144;16.960539;16.943542
10;;16.922466;16.921259;16.887427
15;;16.883891;16.882082;16.831542
20;;16.845493;16.843083;16.775996
25;;16.807119;16.804108;16.720565
30;;16.768845;16.765234;16.665361
30.1;20.500000;16.768845;16.765234;16.665361
30.2;20.500000;16.767316;16.763681;16.663158
35.2;20.500000;16.729147;16.724912;16.608189
40.2;20.500000;16.691078;16.686244;16.553444
45.2;20.500000;16.653032;16.647599;16.498813
50.2;20.500000;16.615162;16.609131;16.444515
55.2;20.500000;16.577392;16.570762;16.390439
60.1;20.500000;16.577392;16.570762;16.390439
60.2;20.500000;16.608661;16.610053;16.405473
65.2;20.500000;16.639871;16.649268;16.420469
70.2;20.500000;16.670999;16.688380;16.435404
75.2;20.500000;16.701984;16.727314;16.450248
80.2;20.500000;16.732950;16.766224;16.465062
85.2;20.500000;16.763834;16.805034;16.479814
90.1;20.500000;16.763834;16.805034;16.479814
90.2;20.500000;16.794638;16.843742;16.494507
95.2;20.500000;16.825360;16.882351;16.509139
100.2;20.500000;16.856003;16.920859;16.523712
105.2;20.500000;16.886565;16.959267;16.538225
110.2;20.500000;16.917047;16.997576;16.552679
115.2;20.500000;16.947449;17.035785;16.567074
120.1;20.500000;16.947449;17.035785;16.567074
120.2;20.500000;16.977771;17.073896;16.581410
125.2;20.500000;17.008014;17.111907;16.595687
130.2;20.500000;17.038178;17.149820;16.609906
135.2;20.500000;17.068262;17.187634;16.624067
140.2;20.500000;17.098268;17.225350;16.638170
145.2;20.500000;17.128195;17.262969;16.652216
150.1;20.500000;17.128195;17.262969;16.652216
150.2;20.500000;17.158044;17.300490;16.666204
155.2;20.500000;17.187815;17.337913;16.680135
160.2;20.500000;17.217567;17.375314;16.694037
165.2;20.500000;17.247181;17.412544;16.707855
170.2;20.500000;17.276718;17.449676;16.721616
175.2;20.500000;17.306178;17.486713;16.735321
180.1;20.500000;17.306178;17.486713;16.735321
180.2;20.500000;17.335561;17.523653;16.748969
185.2;20.500000;17.364866;17.560498;16.762563
190.2;20.500000;17.394095;17.597247;16.776100
195.2;20.500000;17.423247;17.633901;16.789582
200.2;20.500000;17.452323;17.670460;16.803010
205.2;20.500000;17.481322;17.706923;16.816382
210.1;20.500000;17.481322;17.706923;16.816382
210.2;20.500000;17.510246;17.743293;16.829700
215.2;20.500000;17.539093;17.779568;16.842963
220.2;20.500000;17.567866;17.815748;16.856172
225.2;20.500000;17.596562;17.851835;16.869327
230.2;20.500000;17.625184;17.887829;16.882429
235.2;20.500000;17.653730;17.923729;16.895477
240.1;20.500000;17.653730;17.923729;16.895477
240.2;20.500000;17.682202;17.959535;16.908471
245.2;20.500000;17.710600;17.995249;16.921413
250.2;20.500000;17.738922;18.030871;16.934302
255.2;20.500000;17.767171;18.066400;16.947138
260.2;20.500000;17.795345;18.101836;16.959921
265.2;20.500000;17.823446;18.137181;16.972653
270.1;20.500000;17.823446;18.137181;16.972653
270.2;20.500000;17.851473;18.172434;16.985332
275.2;20.500000;17.879427;18.207596;16.997960
280.2;20.500000;17.907307;18.242666;17.010536
285.2;20.500000;17.935115;18.277646;17.023061
290.2;20.500000;17.962849;18.312535;17.035534
295.2;20.500000;17.990511;18.347333;17.047957
300.1;20.500000;17.990511;18.347333;17.047957
300.2;20.500000;18.018101;18.382041;17.060329
305.2;20.500000;18.045618;18.416659;17.072650
310.2;20.500000;18.073063;18.451187;17.084921
315.2;20.500000;18.100436;18.485626;17.097142
320.2;20.500000;18.127737;18.519975;17.109313
325.2;20.500000;18.154967;18.554235;17.121434
330.1;20.500000;18.154967;18.554235;17.121434
330.2;20.500000;18.182125;18.588406;17.133506
335.2;20.500000;18.209213;18.622489;17.145528
340.2;20.500000;18.236229;18.656483;17.157501
345.2;20.500000;18.263174;18.690389;17.169426
350.2;20.500000;18.290049;18.724207;17.181302
355.2;20.500000;18.316854;18.757938;17.193129
360.1;20.500000;18.316854;18.757938;17.193129
360.2;20.500000;18.343588;18.791581;17.204908
365.2;20.500000;18.370252;18.825136;17.216638
370.2;20.500000;18.396847;18.858605;17.228321
375.2;20.500000;18.423371;18.891987;17.239956
380.2;20.500000;18.449827;18.925282;17.251544
385.2;20.500000;18.476213;18.958491;17.263084
390.1;20.500000;18.476213;18.958491;17.263084
390.2;20.500000;18.502529;18.991613;17.274578
395.2;20.500000;18.528777;19.024650;17.286024
400.2;20.500000;18.554956;19.057601;17.297423
405.2;20.500000;18.581066;19.090466;17.308776
410.2;20.500000;18.607108;19.123247;17.320083
415.2;20.500000;18.633082;19.155942;17.331343
420.1;20.500000;18.633082;19.155942;17.331343
420.2;20.500000;18.658988;19.188552;17.342557
425.2;20.500000;18.684826;19.221078;17.353726
430.2;20.500000;18.710596;19.253520;17.364849
435.2;20.500000;18.736298;19.285877;17.375926
440.2;20.500000;18.761934;19.318150;17.386959
445.2;20.500000;18.787502;19.350340;17.397946
450.1;20.500000;18.787502;19.350340;17.397946
450.2;20.500000;18.813003;19.382446;17.408888
455.2;20.500000;18.838437;19.414469;17.419786
460.2;20.500000;18.863805;19.446409;17.430639
465.2;20.500000;18.889106;19.478266;17.441448
470.2;20.500000;18.914341;19.510040;17.452212
475.2;20.500000;18.939510;19.541732;17.462933
480.1;20.500000;18.939510;19.541732;17.462933
480.2;20.500000;18.964612;19.573342;17.473610
485.2;20.500000;18.989649;19.604869;17.484243
490.2;20.500000;19.014621;19.636315;17.494833
495.2;20.500000;19.039527;19.667680;17.505379
500.2;20.500000;19.064368;19.698963;17.515883
505.2;20.500000;19.089143;19.730164;17.526344
