Time,ThermostatTargetTemperature,LivingroomTemperature,KitchenTemperature,HallTemperature
0.1,20.5,16.999146,16.999132,16.998758
5,20.5,16.961144,16.960539,16.943542
10,20.5,16.922466,16.921259,16.887427
15,20.5,16.883891,16.882082,16.831542
20,20.5,16.845493,16.843083,16.775996
25,20.5,16.807119,16.804108,16.720565
30,20.5,16.768845,16.765234,16.665361
30.1,20.5,16.768845,16.765234,16.665361
30.2,20.5,16.767316,16.763681,16.663158
35.2,20.5,16.729147,16.724912,16.608189
40.2,20.5,16.691078,16.686244,16.553444
45.2,20.5,16.653032,16.647599,16.498813
50.2,20.5,16.615162,16.609131,16.444515
55.2,20.5,16.577392,16.570762,16.390439
60.1,20.5,16.577392,16.570762,16.390439
60.2,20.5,16.608661,16.610053,16.405473
65.2,20.5,16.639871,16.649268,16.420469
70.2,20.5,16.670999,16.68838,16.435404
75.2,20.5,16.701984,16.727314,16.450248
80.2,20.5,16.73295,16.766224,16.465062
85.2,20.5,16.763834,16.805034,16.479814
90.1,20.5,16.763834,16.805034,16.479814
90.2,20.5,16.794638,16.843742,16.494507
95.2,20.5,16.82536,16.882351,16.509139
100.2,20.5,16.856003,16.920859,16.523712
105.2,20.5,16.886565,16.959267,16.538225
110.2,20.5,16.917047,16.997576,16.552679
115.2,20.5,16.947449,17.035785,16.567074
120.1,20.5,16.947449,17.035785,16.567074
120.2,20.5,16.977771,17.073896,16.58141
125.2,20.5,17.008014,17.111907,16.595687
130.2,20.5,17.038178,17.14982,16.609906
135.2,20.5,17.068262,17.187634,16.624067
140.2,20.5,17.098268,17.22535,16.63817
145.2,20.5,17.128195,17.262969,16.652216
150.1,20.5,17.128195,17.262969,16.652216
150.2,20.5,17.158044,17.30049,16.666204
155.2,20.5,17.187815,17.337913,16.680135
160.2,20.5,17.217567,17.375314,16.694037
165.2,20.5,17.247181,17.412544,16.707855
170.2,20.5,17.276718,17.449676,16.721616
175.2,20.5,17.306178,17.486713,16.735321
180.1,20.5,17.306178,17.486713,16.735321
180.2,20.5,17.335561,17.523653,16.748969
185.2,20.5,17.364866,17.560498,16.762563
190.2,20.5,17.394095,17.597247,16.7761
195.2,20.5,17.423247,17.633901,16.789582
200.2,20.5,17.452323,17.67046,16.80301
205.2,20.5,17.481322,17.706923,16.816382
210.1,20.5,17.481322,17.706923,16.816382
210.2,20.5,17.510246,17.743293,16.8297
215.2,20.5,17.539093,17.779568,16.842963
220.2,20.5,17.567866,17.815748,16.856172
225.2,20.5,17.596562,17.851835,16.869327
230.2,20.5,17.625184,17.887829,16.882429
235.2,20.5,17.65373,17.923729,16.895477
240.1,20.5,17.65373,17.923729,16.895477
240.2,20.5,17.682202,17.959535,16.908471
245.2,20.5,17.7106,17.995249,16.921413
250.2,20.5,17.738922,18.030871,16.934302
255.2,20.5,17.767171,18.0664,16.947138
260.2,20.5,17.795345,18.101836,16.959921
265.2,20.5,17.823446,18.137181,16.972653
270.1,20.5,17.823446,18.137181,16.972653
270.2,20.5,17.851473,18.172434,16.985332
275.2,20.5,17.879427,18.207596,16.99796
280.2,20.5,17.907307,18.242666,17.010536
285.2,20.5,17.935115,18.277646,17.023061
290.2,20.5,17.962849,18.312535,17.035534
295.2,20.5,17.990511,18.347333,17.047957
300.1,20.5,17.990511,18.347333,17.047957
300.2,20.5,17.94916,18.304482,16.991438
305.2,20.5,17.907894,18.261716,16.935128
310.2,20.5,17.866736,18.219061,16.879048
315.2,20.5,17.825686,18.176516,16.823196
320.2,20.5,17.784744,18.134082,16.767573
325.2,20.5,17.743908,18.091758,16.712177
330.1,20.5,17.743908,18.091758,16.712177
330.2,20.5,17.70318,18.049544,16.657008
335.2,20.5,17.662559,18.007439,16.602063
340.2,20.5,17.622044,17.965444,16.547343
345.2,20.5,17.581635,17.923557,16.492847
350.2,20.5,17.541332,17.881779,16.438573
355.2,20.5,17.501135,17.84011,16.384521
360.1,20.5,17.501135,17.84011,16.384521
360.2,20.5,17.461043,17.798549,16.330689
365.2,20.5,17.421056,17.757095,16.277078
370.2,20.5,17.381173,17.715749,16.223685
375.2,20.5,17.341396,17.67451,16.170511
380.2,20.5,17.301722,17.633378,16.117554
385.2,20.5,17.262153,17.592353,16.064813
390.1,20.5,17.262153,17.592353,16.064813
390.2,20.5,17.222687,17.551434,16.012287
395.2,20.5,17.183324,17.510622,15.959976
400.2,20.5,17.144065,17.469915,15.907879
405.2,20.5,17.104909,17.429314,15.855994
410.2,20.5,17.065855,17.388818,15.804322
415.2,20.5,17.026903,17.348428,15.75286
420.1,20.5,17.026903,17.348428,15.75286
420.2,20.5,16.988054,17.308142,15.701609
425.2,20.5,16.949306,17.26796,15.650567
430.2,20.5,16.91066,17.227883,15.599733
435.2,20.5,16.872115,17.18791,15.549107
440.2,20.5,16.833671,17.14804,15.498688
445.2,20.5,16.795328,17.108274,15.448475
450.1,20.5,16.795328,17.108274,15.448475
450.2,20.5,16.757085,17.068611,15.398467
455.2,20.5,16.718943,17.029051,15.348663
460.2,20.5,16.6809,16.989593,15.299063
465.2,20.5,16.642958,16.950238,15.249665
470.2,20.5,16.605114,16.910985,15.200469
475.2,20.5,16.56737,16.871834,15.151474
480.1,20.5,16.56737,16.871834,15.151474
480.2,20.5,16.598665,16.910344,15.171569
485.2,20.5,16.629901,16.948779,15.191605
490.2,20.5,16.661056,16.987115,15.211559
495.2,20.5,16.692129,17.025352,15.231431
500.2,20.5,16.72312,17.063489,15.251223
505.2,20.5,16.75403,17.101527,15.270934
510.1,20.5,16.75403,17.101527,15.270934
510.2,20.5,16.78486,17.139467,15.290564
515.2,20.5,16.815608,17.177308,15.310114
520.2,20.5,16.846276,17.215051,15.329584
525.2,20.5,16.876863,17.252696,15.348974
530.2,20.5,16.907371,17.290244,15.368286
535.2,20.5,16.937798,17.327694,15.387518
540.1,20.5,16.937798,17.327694,15.387518
540.2,20.5,16.968146,17.365047,15.406672
545.2,20.5,16.998414,17.402303,15.425748
550.2,20.5,17.028603,17.439462,15.444746
555.2,20.5,17.058713,17.476526,15.463666
560.2,20.5,17.088743,17.513492,15.482509
565.2,20.5,17.118696,17.550363,15.501275
570.1,20.5,17.118696,17.550363,15.501275
570.2,20.5,17.148569,17.587139,15.519964
575.2,20.5,17.178365,17.623819,15.538577
580.2,20.5,17.208082,17.660404,15.557114
585.2,20.5,17.237722,17.696893,15.575575
590.2,20.5,17.267283,17.733289,15.593961
595.2,20.5,17.296768,17.76959,15.612271
600.1,20.5,17.296768,17.76959,15.612271
600.2,20.5,17.326175,17.805796,15.630507
605.2,20.5,17.355505,17.841909,15.648669
610.2,20.5,17.384758,17.877928,15.666756
615.2,20.5,17.413935,17.913854,15.684769
620.2,20.5,17.443035,17.949686,15.702709
625.2,20.5,17.472059,17.985426,15.720576
630.1,20.5,17.472059,17.985426,15.720576
630.2,20.5,17.501006,18.021072,15.738369
635.2,20.5,17.529878,18.056627,15.75609
640.2,20.5,17.558675,18.092089,15.773739
645.2,20.5,17.587396,18.127459,15.791315
650.2,20.5,17.616041,18.162737,15.80882
655.2,20.5,17.644612,18.197924,15.826253
660.1,20.5,17.644612,18.197924,15.826253
660.2,20.5,17.673108,18.23302,15.843615
665.2,20.5,17.701529,18.268024,15.860906
670.2,20.5,17.729875,18.302938,15.878126
675.2,20.5,17.758147,18.337761,15.895276
680.2,20.5,17.786346,18.372494,15.912356
685.2,20.5,17.81447,18.407137,15.929366
690.1,20.5,17.81447,18.407137,15.929366
690.2,20.5,17.842521,18.44169,15.946307
695.2,20.5,17.870498,18.476153,15.963179
700.2,20.5,17.898402,18.510527,15.979981
705.2,20.5,17.926232,18.544811,15.996715
710.2,20.5,17.95399,18.579007,16.013381
715.2,20.5,17.981675,18.613114,16.029979
720.1,20.5,17.981675,18.613114,16.029979
720.2,20.5,18.009288,18.647133,16.046508
725.2,20.5,18.036828,18.681063,16.062971
730.2,20.5,18.064296,18.714905,16.079366
735.2,20.5,18.091692,18.74866,16.095694
740.2,20.5,18.119016,18.782327,16.111955
745.2,20.5,18.146269,18.815906,16.12815
750.1,20.5,18.146269,18.815906,16.12815
750.2,20.5,18.17345,18.849399,16.144279
755.2,20.5,18.20056,18.882804,16.160342
760.2,20.5,18.227599,18.916123,16.176339
765.2,20.5,18.254567,18.949356,16.192271
770.2,20.5,18.281465,18.982502,16.208138
775.2,20.5,18.308292,19.015563,16.22394
780.1,20.5,18.308292,19.015563,16.22394
780.2,20.5,18.335048,19.048537,16.239678
