Time,ThermostatTargetTemperature,LivingroomTemperatureFault,LivingroomTemperatureBase
0.1,20.5,16.999146,16.999146
5,20.5,16.961144,16.961144
10,20.5,16.922466,16.922466
15,20.5,16.883891,16.883891
20,20.5,16.845493,16.845493
25,20.5,16.807119,16.807119
30,20.5,16.768845,16.768845
30.1,20.5,16.768845,16.768845
30.2,20.5,16.767316,16.767316
35.2,20.5,16.729147,16.729147
40.2,20.5,16.691078,16.691078
45.2,20.5,16.653032,16.653032
50.2,20.5,16.615162,16.615162
55.2,20.5,16.577392,16.577392
60.1,20.5,16.577392,16.577392
60.2,20.5,16.608661,16.608661
65.2,20.5,16.639871,16.639871
70.2,20.5,16.670999,16.670999
75.2,20.5,16.701984,16.701984
80.2,20.5,16.73295,16.73295
85.2,20.5,16.763834,16.763834
90.1,20.5,16.763834,16.763834
90.2,20.5,16.794638,16.794638
95.2,20.5,16.82536,16.82536
100.2,20.5,16.856003,16.856003
105.2,20.5,16.886565,16.886565
110.2,20.5,16.917047,16.917047
115.2,20.5,16.947449,16.947449
120.1,20.5,16.947449,16.947449
120.2,20.5,16.977771,16.977771
125.2,20.5,17.008014,17.008014
130.2,20.5,17.038178,17.038178
135.2,20.5,17.068262,17.068262
140.2,20.5,17.098268,17.098268
145.2,20.5,17.128195,17.128195
150.1,20.5,17.128195,17.128195
150.2,20.5,17.158044,17.158044
155.2,20.5,17.187815,17.187815
160.2,20.5,17.217567,17.217567
165.2,20.5,17.247181,17.247181
170.2,20.5,17.276718,17.276718
175.2,20.5,17.306178,17.306178
180.1,20.5,17.306178,17.306178
180.2,20.5,17.335561,17.335561
185.2,20.5,17.364866,17.364866
190.2,20.5,17.394095,17.394095
195.2,20.5,17.423247,17.423247
200.2,20.5,17.452323,17.452323
205.2,20.5,17.481322,17.481322
210.1,20.5,17.481322,17.481322
210.2,20.5,17.510246,17.510246
215.2,20.5,17.539093,17.539093
220.2,20.5,17.567866,17.567866
225.2,20.5,17.596562,17.596562
230.2,20.5,17.625184,17.625184
235.2,20.5,17.65373,17.65373
240.1,20.5,17.65373,17.65373
240.2,20.5,17.682202,17.682202
245.2,20.5,17.7106,17.7106
250.2,20.5,17.738922,17.738922
255.2,20.5,17.767171,17.767171
260.2,20.5,17.795345,17.795345
265.2,20.5,17.823446,17.823446
270.1,20.5,17.823446,17.823446
270.2,20.5,17.851473,17.851473
275.2,20.5,17.879427,17.879427
280.2,20.5,17.907307,17.907307
285.2,20.5,17.935115,17.935115
290.2,20.5,17.962849,17.962849
295.2,20.5,17.990511,17.990511
300.1,20.5,17.990511,17.990511
300.2,20.5,17.94916,18.018101
305.2,20.5,17.907894,18.045618
310.2,20.5,17.866736,18.073063
315.2,20.5,17.825686,18.100436
320.2,20.5,17.784744,18.127737
325.2,20.5,17.743908,18.154967
330.1,20.5,17.743908,18.154967
330.2,20.5,17.70318,18.182125
335.2,20.5,17.662559,18.209213
340.2,20.5,17.622044,18.236229
345.2,20.5,17.581635,18.263174
350.2,20.5,17.541332,18.290049
355.2,20.5,17.501135,18.316854
360.1,20.5,17.501135,18.316854
360.2,20.5,17.461043,18.343588
365.2,20.5,17.421056,18.370252
370.2,20.5,17.381173,18.396847
375.2,20.5,17.341396,18.423371
380.2,20.5,17.301722,18.449827
385.2,20.5,17.262153,18.476213
390.1,20.5,17.262153,18.476213
390.2,20.5,17.222687,18.502529
395.2,20.5,17.183324,18.528777
400.2,20.5,17.144065,18.554956
405.2,20.5,17.104909,18.581066
410.2,20.5,17.065855,18.607108
415.2,20.5,17.026903,18.633082
420.1,20.5,17.026903,18.633082
420.2,20.5,16.988054,18.658988
425.2,20.5,16.949306,18.684826
430.2,20.5,16.91066,18.710596
435.2,20.5,16.872115,18.736298
440.2,20.5,16.833671,18.761934
445.2,20.5,16.795328,18.787502
450.1,20.5,16.795328,18.787502
450.2,20.5,16.757085,18.813003
455.2,20.5,16.718943,18.838437
460.2,20.5,16.6809,18.863805
465.2,20.5,16.642958,18.889106
470.2,20.5,16.605114,18.914341
475.2,20.5,16.56737,18.93951
480.1,20.5,16.56737,18.93951
480.2,20.5,16.598665,18.964612
485.2,20.5,16.629901,18.989649
490.2,20.5,16.661056,19.014621
495.2,20.5,16.692129,19.039527
500.2,20.5,16.72312,19.064368
505.2,20.5,16.75403,19.089143
510.1,20.5,16.75403,19.089143
510.2,20.5,16.78486,19.113854
515.2,20.5,16.815608,19.1385
520.2,20.5,16.846276,19.163081
525.2,20.5,16.876863,19.187598
530.2,20.5,16.907371,19.212051
535.2,20.5,16.937798,19.23644
540.1,20.5,16.937798,19.23644
540.2,20.5,16.968146,19.260765
545.2,20.5,16.998414,19.285026
550.2,20.5,17.028603,19.309223
555.2,20.5,17.058713,19.333357
