time,20sim,fmu,cohla,d-20sim-fmu,d-fmu-cohla,d-20sim-cohla,offset-20sim-cohla,target
0,18,17.9996,17.999633,0.000399999999999,3.29999999983954E-05,0.000367000000001,-0.000367000000001,18
3,17.9889917355372,17.989,17.988995,8.26446279944548E-06,5.00000000158707E-06,3.26446279785841E-06,3.26446279785841E-06,18
6,17.9779911131753,17.9776,17.977632,0.000391113175301,3.20000000009202E-05,0.0003591131753,-0.0003591131753,18
9,17.9669981276091,17.9666,17.966643,0.000398127609099,4.30000000015696E-05,0.000355127609097,-0.000355127609097,18
12,17.9560127735371,17.9557,17.955662,0.0003127735371,3.79999999999825E-05,0.0003507735371,-0.0003507735371,18
15,17.9450350456613,17.9447,17.944688,0.000335045661298,1.20000000016773E-05,0.0003470456613,-0.0003470456613,18
18,17.9340649386874,17.9337,17.933722,0.000364938687397,2.1999999997746E-05,0.0003429386874,-0.0003429386874,18
21,17.9231024473251,17.9231,17.923128,2.44732509813161E-06,2.79999999968084E-05,2.55526748986767E-05,2.55526748986767E-05,18
24,17.9121475662872,17.9122,17.912177,5.24337127991714E-05,2.2999999998774E-05,2.94337128003974E-05,2.94337128003974E-05,18
27,17.9012002902908,17.9012,17.901233,2.90290799398463E-07,3.30000000019481E-05,3.27097092025497E-05,3.27097092025497E-05,18
30,17.8902606140562,17.8903,17.890297,3.93859438005961E-05,2.99999999953116E-06,3.6385943801065E-05,3.6385943801065E-05,18
33,17.8793285323076,17.8794,17.879369,7.14676924005175E-05,3.09999999998922E-05,4.04676924006253E-05,4.04676924006253E-05,18
36,17.8684040397728,17.8684,17.868448,4.03977279717083E-06,4.79999999996039E-05,4.39602272024331E-05,4.39602272024331E-05,18
39,17.8574871311832,17.8575,17.857535,1.28688168032909E-05,3.49999999968986E-05,4.78688168001895E-05,4.78688168001895E-05,18
42,17.846577801274,17.8466,17.846629,2.2198725996958E-05,2.9000000001389E-05,5.11987259983471E-05,5.11987259983471E-05,18
45,17.8356760447838,17.8357,17.835731,2.39552162000223E-05,3.09999999998922E-05,5.49552161999145E-05,5.49552161999145E-05,18
48,17.8247818564552,17.8248,17.82484,1.81435447998979E-05,4.00000000020384E-05,5.81435448019363E-05,5.81435448019363E-05,18
