time,cohla-level,cohla-valve,intocps-level,intocps-value,d-level,da-level
0,0.01,0,0,0,0.01,0.01
0.1,0.11,0,0.11,0,0,0
0.2,0.2,0,0.2,0,0,0
0.3,0.3,0,0.3,0,0,0
0.4,0.4,0,0.4,0,0,0
0.5,0.5,0,0.5,0,0,0
0.6,0.6,0,0.6,0,0,0
0.7,0.7,0,0.7,0,0,0
0.8,0.8,0,0.8,0,0,0
0.9,0.9,0,0.900000000000001,0,0,0
1,1,0,1,0,0,0
1.1,1.1,0,1.1,0,0,0
1.2,1.2,0,1.20000000000001,0,-9.99200722162641E-15,9.99200722162641E-15
1.3,1.3,0,1.30000000000001,0,-9.99200722162641E-15,9.99200722162641E-15
1.4,1.4,0,1.40000000000001,0,-1.02140518265514E-14,1.02140518265514E-14
1.5,1.5,0,1.50000000000001,0,-9.99200722162641E-15,9.99200722162641E-15
1.6,1.6,0,1.60000000000001,0,-9.76996261670138E-15,9.76996261670138E-15
1.7,1.7,0,1.70000000000002,0,-2.02060590481778E-14,2.02060590481778E-14
1.8,1.8,0,1.80000000000002,0,-2.02060590481778E-14,2.02060590481778E-14
1.9,1.9,0,1.90000000000002,0,-1.99840144432528E-14,1.99840144432528E-14
2,2,0,2.00000000000002,0,-1.99840144432528E-14,1.99840144432528E-14
2.1,2.11,1,2.11000000000002,1,-1.99840144432528E-14,1.99840144432528E-14
2.2,1.990281,1,1.99028123394361,1,-2.33943610039589E-07,2.33943610039589E-07
2.3,1.879488,1,1.87948845810575,1,-4.5810575022287E-07,4.5810575022287E-07
2.4,1.780137,1,1.7801372059716,1,-2.05971600220067E-07,2.05971600220067E-07
2.5,1.691046,1,1.69104591616522,1,8.38347800069528E-08,8.38347800069528E-08
2.6,1.611155,1,1.61115504666065,1,-4.6660650010466E-08,4.6660650010466E-08
2.7,1.539514,1,1.53951447389459,1,-4.73894589791968E-07,4.73894589791968E-07
2.8,1.475272,1,1.47527219316744,1,-1.93167440043496E-07,1.93167440043496E-07
2.9,1.417664,1,1.4176641859492,1,-1.85949200037783E-07,1.85949200037783E-07
3,1.366005,1,1.36600533358448,1,-3.33584480038951E-07,3.33584480038951E-07
3.1,1.319681,1,1.31968126933538,1,-2.69335379776692E-07,2.69335379776692E-07
3.2,1.278141,1,1.27814107186054,1,-7.18605399629979E-08,7.18605399629979E-08
3.3,1.240891,1,1.24089071323548,1,2.86764519907834E-07,2.86764519907834E-07
3.4,1.207487,1,1.20748718359324,1,-1.83593239944102E-07,1.83593239944102E-07
3.5,1.177533,1,1.17753322251085,1,-2.22510849967605E-07,2.22510849967605E-07
3.6,1.150673,1,1.15067259448337,1,4.05516630053171E-07,4.05516630053171E-07
3.7,1.126586,1,1.1265858522977,1,1.47702300168362E-07,1.47702300168362E-07
3.8,1.104987,1,1.1049865379211,1,4.62078900032026E-07,4.62078900032026E-07
3.9,1.085618,1,1.08561777572225,1,2.24277749927282E-07,2.24277749927282E-07
4,1.068249,1,1.06824921750902,1,-2.17509019906359E-07,2.17509019906359E-07
4.1,1.052674,1,1.05267430305093,1,-3.03050929906234E-07,3.03050929906234E-07
4.2,1.038708,1,1.03870780350624,1,1.96493759929695E-07,1.96493759929695E-07
4.3,1.026184,1,1.02618361853838,1,3.81461620069246E-07,3.81461620069246E-07
4.4,1.014953,1,1.01495280092319,1,1.99076809925813E-07,1.99076809925813E-07
4.5,1.004882,1,1.00488178515414,1,2.14845859991541E-07,2.14845859991541E-07
4.6,0.995851,1,0.995850798978807,1,2.01021192802742E-07,2.01021192802742E-07
4.7,0.987752,0,0.987752438975278,0,-4.38975278127529E-07,4.38975278127529E-07
4.8,1.085958,0,1.08595802204447,0,-2.20444700271827E-08,2.20444700271827E-08
4.9,1.185958,0,1.18595802204448,0,-2.20444800191899E-08,2.20444800191899E-08
5,1.285958,0,1.28595802204448,0,-2.20444800191899E-08,2.20444800191899E-08
5.1,1.385958,0,1.38595802204448,0,-2.20444800191899E-08,2.20444800191899E-08
5.2,1.485958,0,1.48595802204448,0,-2.20444800191899E-08,2.20444800191899E-08
5.3,1.585958,0,1.58595802204449,0,-2.20444900111971E-08,2.20444900111971E-08
5.4,1.685958,0,1.68595802204449,0,-2.20444902332417E-08,2.20444902332417E-08
5.5,1.785958,0,1.78595802204449,0,-2.20444900111971E-08,2.20444900111971E-08
5.6,1.885958,0,1.88595802204449,0,-2.20444900111971E-08,2.20444900111971E-08
5.7,1.985958,0,1.9859580220445,0,-2.20445000032043E-08,2.20445000032043E-08
5.8,2.085958,0,2.08595802204449,0,-2.20444897891525E-08,2.20444897891525E-08
5.9,2.185958,1,2.18595802204449,1,-2.20444902332417E-08,2.20444902332417E-08
6,2.058519,1,2.05851884294622,1,1.57053780203142E-07,1.57053780203142E-07
6.1,1.940679,1,1.94067919771654,1,-1.97716540029091E-07,1.97716540029091E-07
6.2,1.835009,1,1.83500880345051,1,1.96549490016906E-07,1.96549490016906E-07
6.3,1.740251,1,1.74025094668191,1,5.33180899431329E-08,5.33180899431329E-08
6.4,1.655279,1,1.65527869421947,1,3.05780530007738E-07,3.05780530007738E-07
6.5,1.579081,1,1.57908149079207,1,-4.90792070095836E-07,4.90792070095836E-07
6.6,1.510753,1,1.51075314074954,1,-1.40749540022966E-07,1.40749540022966E-07
6.7,1.449481,1,1.44948103088814,1,-3.08881400457039E-08,3.08881400457039E-08
6.8,1.394536,1,1.39453646623042,1,-4.66230420048674E-07,4.66230420048674E-07
6.9,1.345266,1,1.345266003825,1,-3.82499987239271E-09,3.82499987239271E-09
7,1.301084,1,1.30108368150129,1,3.18498709850346E-07,3.18498709850346E-07
7.1,1.261464,1,1.2614640491574,1,-4.91574001504347E-08,4.91574001504347E-08
7.2,1.225936,1,1.22593591970407,1,8.02959299051054E-08,8.02959299051054E-08
7.3,1.194077,1,1.19407676534605,1,2.34653950048624E-07,2.34653950048624E-07
7.4,1.165508,1,1.16550769255706,1,3.07442939995184E-07,3.07442939995184E-07
7.5,1.139889,1,1.13988893598713,1,6.40128698936593E-08,6.40128698936593E-08
7.6,1.116916,1,1.11691581771209,1,1.82287910099888E-07,1.82287910099888E-07
7.7,1.096315,1,1.09631512376981,1,-1.23769810178587E-07,1.23769810178587E-07
7.8,1.077842,1,1.07784185488996,1,1.45110039984075E-07,1.45110039984075E-07
7.9,1.061276,1,1.06127631277456,1,-3.12774560029538E-07,3.12774560029538E-07
8,1.046421,1,1.04642148727714,1,-4.87277139971098E-07,4.87277139971098E-07
8.1,1.033101,1,1.0331007134068,1,2.86593200060636E-07,2.86593200060636E-07
8.2,1.021156,1,1.0211555702925,1,4.29707500027021E-07,4.29707500027021E-07
8.3,1.010444,1,1.01044399712039,1,2.87960988387681E-09,2.87960988387681E-09
8.4,1.000839,1,1.00083860363759,1,3.96362410004514E-07,3.96362410004514E-07
8.5,0.992225,1,0.992225155129402,1,-1.5512940221285E-07,1.5512940221285E-07
8.6,0.984501,0,0.984501213852459,0,-2.13852459074459E-07,2.13852459074459E-07
8.7,1.082713,0,1.08271270331396,0,2.96686039957805E-07,2.96686039957805E-07
8.8,1.182713,0,1.18271270331396,0,2.96686039957805E-07,2.96686039957805E-07
8.9,1.282713,0,1.28271270331397,0,2.96686029965798E-07,2.96686029965798E-07
9,1.382713,0,1.38271270331397,0,2.96686029965798E-07,2.96686029965798E-07
9.1,1.482713,0,1.48271270331397,0,2.96686029965798E-07,2.96686029965798E-07
9.2,1.582713,0,1.58271270331397,0,2.96686029965798E-07,2.96686029965798E-07
9.3,1.682713,0,1.68271270331398,0,2.96686020195835E-07,2.96686020195835E-07
9.4,1.782713,0,1.78271270331398,0,2.96686019973791E-07,2.96686019973791E-07
9.5,1.882713,0,1.88271270331398,0,2.96686019751746E-07,2.96686019751746E-07
9.6,1.982713,0,1.98271270331398,0,2.96686019973791E-07,2.96686019973791E-07
