time,20sim,cohla,delta,abs-delta,HeaterState-20sim,HeaterState-CoHLA,target
0,18,17.999633,-0.000367000000001,0.000367000000001,0,0,18
3,17.9896164990957,17.988995,-0.000621499095701,0.000621499095701,0,0,18
6,17.9782526860953,17.977632,-0.000620686095299,0.000620686095299,0,0,18
9,17.9672632067612,17.966643,-0.000620206761198,0.000620206761198,0,0,18
12,17.9562813539278,17.955662,-0.000619353927799,0.000619353927799,0,0,18
15,17.9453071223026,17.944688,-0.000619122302602,0.000619122302602,0,0,18
18,17.9343405065964,17.933722,-0.0006185065964,0.0006185065964,0,0,18
21,17.9237466791332,17.923128,-0.000618679133201,0.000618679133201,0,0,18
24,17.9127950259863,17.912177,-0.000618025986299,0.000618025986299,0,0,18
27,17.9018509730896,17.901233,-0.0006179730896,0.0006179730896,0,0,18
30,17.8909145151683,17.890297,-0.000617515168301,0.000617515168301,0,0,18
33,17.879985646952,17.879369,-0.000616646952,0.000616646952,0,0,18
36,17.8690643631734,17.868448,-0.0006163631734,0.0006163631734,0,0,18
39,17.8581506585692,17.857535,-0.000615658569203,0.000615658569203,0,0,18
42,17.8472445278794,17.846629,-0.0006155278794,0.0006155278794,0,0,18
45,17.8363459658477,17.835731,-0.000614965847699,0.000614965847699,0,0,18
48,17.825454967222,17.82484,-0.000614967221999,0.000614967221999,0,0,18
51,17.814571526753,17.813957,-0.000614526753001,0.000614526753001,0,0,18
54,17.8036956391958,17.803082,-0.000613639195802,0.000613639195802,0,0,18
57,17.7928272993087,17.792214,-0.0006132993087,0.0006132993087,0,0,18
60,17.7819665018537,17.781354,-0.000612501853698,0.000612501853698,0,0,18
63,17.7711132415967,17.770501,-0.000612241596702,0.000612241596702,0,0,18
66,17.7599061186867,17.759655,-0.000251118686702,0.000251118686702,0,0,18
69,17.7490681679383,17.748818,-0.000250167938301,0.000250167938301,0,0,18
72,17.7382377385325,17.737987,-0.0002507385325,0.0002507385325,0,0,18
75,17.7274148252496,17.727165,-0.0002498252496,0.0002498252496,0,0,18
78,17.7165994228736,17.715989,-0.000610422873599,0.000610422873599,0,0,18
81,17.7057915261922,17.705182,-0.0006095261922,0.0006095261922,0,0,18
84,17.6949911299964,17.694382,-0.000609129996398,0.000609129996398,0,0,18
87,17.684198229081,17.683589,-0.000609229081,0.000609229081,0,0,18
90,17.6737722113206,17.672804,-0.0009682113206,0.0009682113206,0,1,18
93,17.6818943220751,17.680044,-0.0018503220751,0.0018503220751,1,1,18
96,17.6897488835925,17.6879,-0.001848883592501,0.001848883592501,1,1,18
99,17.6975979941857,17.69575,-0.001847994185699,0.001847994185699,1,1,18
102,17.7054416576376,17.703595,-0.0018466576376,0.0018466576376,1,1,18
105,17.7132798777282,17.711435,-0.0018448777282,0.0018448777282,1,1,18
108,17.7211126582354,17.719269,-0.001843658235398,0.001843658235398,1,1,18
111,17.7289400029339,17.727097,-0.001843002933899,0.001843002933899,1,1,18
114,17.736761915596,17.734921,-0.001840915595999,0.001840915595999,1,1,18
117,17.7445783999918,17.742738,-0.001840399991799,0.001840399991799,1,1,18
120,17.7521291785799,17.750551,-0.001578178579898,0.001578178579898,1,1,18
123,17.7601950990497,17.758358,-0.001837099049698,0.001837099049698,1,1,18
126,17.7679953212381,17.766159,-0.001836321238102,0.001836321238102,1,1,18
129,17.7757901302128,17.773955,-0.0018351302128,0.0018351302128,1,1,18
132,17.7835795297304,17.781746,-0.001833529730401,0.001833529730401,1,1,18
135,17.7913635235449,17.789531,-0.001832523544898,0.001832523544898,1,1,18
138,17.7991421154081,17.797311,-0.001831115408098,0.001831115408098,1,1,18
141,17.8069153090685,17.805085,-0.001830309068502,0.001830309068502,1,1,18
144,17.8146831082726,17.812854,-0.001829108272599,0.001829108272599,1,1,18
147,17.8224455167637,17.820618,-0.001827516763701,0.001827516763701,1,1,18
150,17.8299440576498,17.828376,-0.001568057649802,0.001568057649802,1,1,18
153,17.8379541765696,17.836129,-0.0018251765696,0.0018251765696,1,1,18
156,17.8457004353585,17.843877,-0.001823435358499,0.001823435358499,1,1,18
159,17.8534413183832,17.851619,-0.001822318383201,0.001822318383201,1,1,18
162,17.8611768293746,17.859356,-0.001820829374601,0.001820829374601,1,1,18
165,17.8689069720607,17.867087,-0.001819972060698,0.001819972060698,1,1,18
168,17.8766317501668,17.874813,-0.001818750166802,0.001818750166802,1,1,18
171,17.8843511674162,17.882534,-0.001817167416199,0.001817167416199,1,1,18
174,17.8920652275289,17.890249,-0.001816227528899,0.001816227528899,1,1,18
177,17.8997739342228,17.897959,-0.0018149342228,0.0018149342228,1,1,18
180,17.9072205987974,17.905664,-0.0015565987974,0.0015565987974,1,1,18
183,17.9151753022127,17.913363,-0.001812302212699,0.001812302212699,1,1,18
186,17.9228679709311,17.921057,-0.0018109709311,0.0018109709311,1,1,18
189,17.930555301076,17.928746,-0.001809301076001,0.001809301076001,1,1,18
192,17.938237296352,17.936429,-0.001808296351999,0.001808296351999,1,1,18
195,17.9459139604618,17.944107,-0.001806960461803,0.001806960461803,1,1,18
198,17.953585297105,17.951779,-0.001806297105002,0.001806297105002,1,1,18
201,17.9612513099786,17.959447,-0.001804309978599,0.001804309978599,1,1,18
204,17.9689120027774,17.967109,-0.0018030027774,0.0018030027774,1,1,18
207,17.9765673791933,17.974765,-0.001802379193297,0.001802379193297,1,1,18
210,17.9839625263461,17.982416,-0.0015465263461,0.0015465263461,1,1,18
213,17.9918621976318,17.990062,-0.001800197631798,0.001800197631798,1,1,18
216,17.9995016470258,17.997703,-0.001798647025797,0.001798647025797,1,1,18
219,18.0071357947795,18.005339,-0.001796794779501,0.001796794779501,1,1,18
222,18.014764644572,18.012969,-0.001795644572002,0.001795644572002,1,1,18
225,18.0223882000802,18.020593,-0.001795200080199,0.001795200080199,1,1,18
228,18.030006464978,18.028213,-0.001793464978,0.001793464978,1,1,18
231,18.0376194429374,18.035827,-0.001792442937401,0.001792442937401,1,1,18
234,18.0452271376271,18.043436,-0.001791137627102,0.001791137627102,1,1,18
237,18.0528295527137,18.05104,-0.001789552713699,0.001789552713699,1,1,18
240,18.0601735388522,18.058638,-0.001535538852202,0.001535538852202,1,1,18
243,18.068018558731,18.066231,-0.001787558731003,0.001787558731003,1,1,18
246,18.0756051569817,18.073819,-0.001786156981701,0.001786156981701,1,1,18
249,18.08318649027,18.081402,-0.001784490269998,0.001784490269998,1,1,18
252,18.0907625622495,18.088979,-0.0017835622495,0.0017835622495,1,1,18
255,18.0983333765715,18.096551,-0.001782376571498,0.001782376571498,1,1,18
258,18.1058989368847,18.104118,-0.0017809368847,0.0017809368847,1,1,18
261,18.1132073210544,18.111679,-0.001528321054401,0.001528321054401,1,1,18
264,18.120762559118,18.119236,-0.001526559117998,0.001526559117998,1,1,18
267,18.1283125539825,18.126787,-0.0015255539825,0.0015255539825,1,1,18
270,18.1358573092864,18.134333,-0.001524309286399,0.001524309286399,1,1,18
273,18.143396828666,18.141873,-0.001523828665999,0.001523828665999,1,1,18
276,18.1509311157549,18.149409,-0.001522115754902,0.001522115754902,1,1,18
279,18.1584601741843,18.156939,-0.001521174184298,0.001521174184298,1,1,18
282,18.1659840075827,18.164464,-0.001520007582702,0.001520007582702,1,1,18
285,18.1735026195762,18.171983,-0.0015196195762,0.0015196195762,1,1,18
288,18.1810160137885,18.179498,-0.001518013788502,0.001518013788502,1,1,18
291,18.1885241938406,18.187007,-0.001517193840598,0.001517193840598,1,1,18
294,18.1960271633509,18.194511,-0.001516163350903,0.001516163350903,1,1,18
297,18.2035249259353,18.20201,-0.0015149259353,0.0015149259353,1,1,18
300,18.2110174852074,18.209503,-0.001514485207398,0.001514485207398,1,1,18
303,18.2185048447785,18.216742,-0.001762844778501,0.001762844778501,1,1,18
306,18.2259870082568,18.224226,-0.0017610082568,0.0017610082568,1,1,18
309,18.2334639792484,18.231704,-0.001759979248398,0.001759979248398,1,1,18
312,18.2409357613568,18.239177,-0.001758761356797,0.001758761356797,1,1,18
315,18.2484023581831,18.246645,-0.001757358183099,0.001757358183099,1,1,18
318,18.2558637733256,18.254107,-0.001756773325599,0.001756773325599,1,1,18
321,18.2633200103803,18.261565,-0.0017550103803,0.0017550103803,1,1,18
324,18.2707710729408,18.269017,-0.001754072940798,0.001754072940798,1,1,18
327,18.278216964598,18.276464,-0.001752964597998,0.001752964597998,1,1,18
330,18.2856576889406,18.283906,-0.001751688940598,0.001751688940598,1,0,18
333,18.2744548760705,18.273325,-0.0011298760705,0.0011298760705,0,0,18
336,18.2632598377507,18.262131,-0.001128837750699,0.001128837750699,0,0,18
339,18.2520725685859,18.250945,-0.001127568585897,0.001127568585897,0,0,18
342,18.2408930631843,18.239766,-0.001127063184299,0.001127063184299,0,0,18
345,18.2297213161583,18.228595,-0.001126316158302,0.001126316158302,0,0,18
348,18.2185573221235,18.217432,-0.001125322123503,0.001125322123503,0,0,18
351,18.2074010756996,18.206276,-0.001125075699601,0.001125075699601,0,0,18
354,18.1962525715097,18.195129,-0.001123571509698,0.001123571509698,0,0,18
357,18.1851118041808,18.183989,-0.001122804180799,0.001122804180799,0,0,18
360,18.1739787683439,18.172856,-0.001122768343901,0.001122768343901,0,0,18
363,18.1628534586334,18.161732,-0.001121458633399,0.001121458633399,0,0,18
366,18.1517358696875,18.150615,-0.001120869687501,0.001120869687501,0,0,18
369,18.1406259961482,18.139506,-0.001119996148198,0.001119996148198,0,0,18
372,18.1295238326611,18.128405,-0.001118832661099,0.001118832661099,0,0,18
375,18.1184293738755,18.117311,-0.001118373875499,0.001118373875499,0,0,18
378,18.1073426144446,18.106225,-0.001117614444603,0.001117614444603,0,0,18
381,18.096263549025,18.095147,-0.001116549024999,0.001116549024999,0,0,18
384,18.0851921722772,18.084076,-0.0011161722772,0.0011161722772,0,0,18
387,18.0741284788655,18.073013,-0.001115478865501,0.001115478865501,0,0,18
390,18.0630724634578,18.061958,-0.0011144634578,0.0011144634578,0,0,18
393,18.0520241207256,18.05091,-0.001114120725603,0.001114120725603,0,0,18
396,18.0409834453448,18.03987,-0.001113445344799,0.001113445344799,0,0,18
399,18.0299504319935,18.028838,-0.001112431993498,0.001112431993498,0,0,18
402,18.0189250753548,18.017814,-0.0011110753548,0.0011110753548,0,0,18
405,18.007907370115,18.006797,-0.001110370115001,0.001110370115001,0,0,18
408,17.9968973109644,17.995787,-0.0011103109644,0.0011103109644,0,0,18
411,17.9858948925963,17.984786,-0.001108892596299,0.001108892596299,0,0,18
414,17.9749001097084,17.973792,-0.001108109708401,0.001108109708401,0,0,18
417,17.9639129570019,17.962805,-0.001107957001899,0.001107957001899,0,0,18
420,17.9529334291816,17.951827,-0.001106429181597,0.001106429181597,0,0,18
423,17.9419615209557,17.940855,-0.001106520955702,0.001106520955702,0,0,18
426,17.9309972270366,17.929892,-0.0011052270366,0.0011052270366,0,0,18
429,17.9200405421401,17.918936,-0.001104542140101,0.001104542140101,0,0,18
432,17.9090914609857,17.907988,-0.0011034609857,0.0011034609857,0,0,18
435,17.8981499782963,17.897047,-0.001102978296299,0.001102978296299,0,0,18
438,17.8872160887988,17.886114,-0.001102088798802,0.001102088798802,0,0,18
441,17.8762897872238,17.875188,-0.001101787223799,0.001101787223799,0,0,18
444,17.8653710683055,17.86427,-0.001101068305498,0.001101068305498,0,0,18
447,17.8544599267813,17.85336,-0.001099926781301,0.001099926781301,0,0,18
450,17.8435563573929,17.842457,-0.001099357392899,0.001099357392899,0,0,18
453,17.8326603548852,17.831562,-0.001098354885201,0.001098354885201,0,0,18
456,17.8217719140069,17.820674,-0.001097914006898,0.001097914006898,0,0,18
459,17.8108910295107,17.809794,-0.001097029510699,0.001097029510699,0,0,18
462,17.8000176961523,17.798922,-0.001095696152298,0.001095696152298,0,0,18
465,17.7891519086915,17.788056,-0.0010959086915,0.0010959086915,0,0,18
468,17.7782936618915,17.777199,-0.0010946618915,0.0010946618915,0,0,18
471,17.7674429505192,17.766349,-0.001093950519202,0.001093950519202,0,0,18
474,17.7565997693453,17.755507,-0.001092769345298,0.001092769345298,0,0,18
477,17.7457641131439,17.744672,-0.001092113143898,0.001092113143898,0,0,18
480,17.7349359766927,17.733844,-0.001091976692699,0.001091976692699,0,0,18
