Time,ThermostatTargetTemperature,POOSL,VDM,20sim,POOSL_compensated
0.1,20.5,16.999146,,,
0.1,20.5,,16.999146,,
0.1,,,,16.999146,
0.1,,,,,17.000665
5,20.5,16.961144,,,
5,20.5,,17.028707,,
5,,,,17.028707,
5,,,,,17.030245
10,20.5,16.922466,,,
10,20.5,,17.058816,,
10,,,,17.058816,
10,,,,,17.06035
15,20.5,16.883891,,,
15,20.5,,17.088847,,
15,,,,17.088847,
15,,,,,17.090377
15.1,,,,,17.090377
20,20.5,16.845493,,,
20,20.5,,17.118739,,
20,,,,17.118739,
20,,,,,17.051462
25,20.5,16.807119,,,
25,20.5,,17.148613,,
25,,,,17.148613,
25,,,,,17.012548
30,20.5,16.768845,,,
30,20.5,,17.178408,,
30,,,,17.178408,
30,,,,,16.973737
30.1,20.5,16.768845,,,
30.1,,,,,16.973737
35,20.5,16.730672,,,
35,,,17.208125,,
35,,,,17.208125,
35,,,,,17.003967
40,20.5,16.692598,,,
40,,,17.237764,,
40,,,,17.237764,
40,,,,,17.034141
45,20.5,16.654549,,,
45,,,17.267385,,
45,,,,17.267385,
45,,,,,17.064297
45.1,,,,,17.064297
50,20.5,16.616675,,,
50,,,17.296869,,
50,,,,17.296869,
50,,,,,17.094313
55,20.5,16.578901,,,
55,,,17.326276,,
55,,,,17.326276,
55,,,,,17.124251
60,20.5,16.541225,,,
60,,,17.355606,,
60,,,,17.355606,
60,,,,,17.15411
60.1,20.5,16.541225,,,
60.1,,,,,17.15411
65,20.5,16.572589,,,
65,,,17.384859,,
65,,,,17.384859,
65,,,,,17.183891
70,20.5,16.603894,,,
70,,,17.414035,,
70,,,,17.414035,
70,,,,,17.213593
75,20.5,16.635054,,,
75,,,17.443077,,
75,,,,17.443077,
75,,,,,17.243159
75.1,,,,,17.243159
80,20.5,16.666195,,,
80,,,17.472101,,
80,,,,17.472101,
80,,,,,17.272707
85,20.5,16.697254,,,
85,,,17.501048,,
85,,,,17.501048,
85,,,,,17.302177
90,20.5,16.728232,,,
90,,,17.52992,,
90,,,,17.52992,
90,,,,,17.33157
90.1,20.5,16.728232,,,
90.1,,,,,17.33157
95,20.5,16.759129,,,
95,,,17.558717,,
95,,,,17.558717,
95,,,,,17.360886
100,20.5,16.789945,,,
100,,,17.587437,,
100,,,,17.587437,
100,,,,,17.390125
105,20.5,16.82068,,,
105,,,17.616083,,
105,,,,17.616083,
105,,,,,17.419288
105.1,,,,,17.419288
110,20.5,16.851334,,,
110,,,17.644653,,
110,,,,17.644653,
110,,,,,17.448374
115,20.5,16.881909,,,
115,,,17.673149,,
115,,,,17.673149,
115,,,,,17.477384
120,20.5,16.912403,,,
120,,,17.70157,,
120,,,,17.70157,
120,,,,,17.506317
120.1,20.5,16.912403,,,
120.1,,,,,17.506317
125,20.5,16.942817,,,
125,,,17.729916,,
125,,,,17.729916,
125,,,,,17.535175
130,20.5,16.973151,,,
130,,,17.758188,,
130,,,,17.758188,
130,,,,,17.563958
135,20.5,17.003407,,,
135,,,17.786386,,
135,,,,17.786386,
135,,,,,17.592665
135.1,,,,,17.592665
140,20.5,17.033582,,,
140,,,17.814511,,
140,,,,17.814511,
140,,,,,17.621297
145,20.5,17.063679,,,
145,,,17.842561,,
145,,,,17.842561,
145,,,,,17.649854
150,20.5,17.093697,,,
150,,,17.870538,,
150,,,,17.870538,
150,,,,,17.678336
150.1,20.5,17.093697,,,
150.1,,,,,17.678336
155,20.5,17.123636,,,
155,,,17.898442,,
155,,,,17.898442,
155,,,,,17.706743
160,20.5,17.153556,,,
160,,,17.926328,,
160,,,,17.926328,
160,,,,,17.735132
165,20.5,17.183339,,,
165,,,17.954086,,
165,,,,17.954086,
165,,,,,17.763391
165.1,,,,,17.763391
170,20.5,17.213043,,,
170,,,17.981771,,
170,,,,17.981771,
170,,,,,17.791575
175,20.5,17.24267,,,
175,,,18.009383,,
175,,,,18.009383,
175,,,,,17.819686
180,20.5,17.272219,,,
180,,,18.036923,,
180,,,,18.036923,
180,,,,,17.847723
180.1,20.5,17.272219,,,
180.1,,,,,17.847723
185,20.5,17.30169,,,
185,,,18.06439,,
185,,,,18.06439,
185,,,,,17.875686
190,20.5,17.331084,,,
190,,,18.091786,,
190,,,,18.091786,
190,,,,,17.903577
195,20.5,17.360401,,,
195,,,18.11911,,
195,,,,18.11911,
195,,,,,17.931394
195.1,,,,,17.931394
