Time;ThermostatTargetTemperature;LivingroomTemperature;KitchenTemperature;HallTemperature
0.1;;16.999283;16.999132;16.998483
5;;16.967386;16.960539;16.931080
10;;16.934911;16.921259;16.862629
15;;16.902509;16.882082;16.794507
20;;16.870244;16.843083;16.726849
25;;16.837988;16.804108;16.659381
30;;16.805804;16.765234;16.592239
30.1;14.000000;16.805804;16.765234;16.592239
30.2;14.000000;16.804518;16.763681;16.589560
35.2;14.000000;16.772410;16.724912;16.522753
40.2;14.000000;16.740374;16.686244;16.456268
45.2;14.000000;16.708346;16.647599;16.389972
50.2;14.000000;16.676455;16.609131;16.324127
55.2;14.000000;16.644635;16.570762;16.258598
60.1;14.000000;16.644635;16.570762;16.258598
60.2;14.000000;16.612887;16.532494;16.193386
65.2;14.000000;16.581211;16.494324;16.128487
70.2;14.000000;16.549606;16.456254;16.063901
75.2;14.000000;16.518135;16.418358;15.999755
80.2;14.000000;16.486672;16.380485;15.935789
85.2;14.000000;16.455280;16.342710;15.872131
90.1;14.000000;16.455280;16.342710;15.872131
90.2;14.000000;16.423959;16.305033;15.808779
95.2;14.000000;16.392708;16.267453;15.745733
100.2;14.000000;16.361528;16.229971;15.682990
105.2;14.000000;16.330418;16.192587;15.620550
110.2;14.000000;16.299379;16.155299;15.558410
115.2;14.000000;16.268409;16.118108;15.496569
120.1;14.000000;16.268409;16.118108;15.496569
120.2;14.000000;16.237509;16.081014;15.435026
125.2;14.000000;16.206678;16.044015;15.373780
130.2;14.000000;16.175918;16.007113;15.312829
135.2;14.000000;16.145226;15.970307;15.252171
140.2;14.000000;16.114604;15.933596;15.191805
145.2;14.000000;16.084050;15.896980;15.131730
150.1;14.000000;16.084050;15.896980;15.131730
150.2;14.000000;16.053566;15.860459;15.071944
155.2;14.000000;16.023150;15.824033;15.012446
160.2;14.000000;15.992742;15.787629;14.953117
165.2;14.000000;15.962463;15.751391;14.894191
170.2;14.000000;15.932253;15.715248;14.835550
175.2;14.000000;15.902110;15.679199;14.777190
180.1;14.000000;15.902110;15.679199;14.777190
180.2;14.000000;15.872036;15.643243;14.719112
185.2;14.000000;15.842029;15.607380;14.661313
190.2;14.000000;15.812090;15.571610;14.603793
195.2;14.000000;15.782219;15.535934;14.546550
200.2;14.000000;15.752414;15.500349;14.489582
205.2;14.000000;15.722677;15.464857;14.432889
210.1;14.000000;15.722677;15.464857;14.432889
210.2;14.000000;15.693007;15.429457;14.376469
215.2;14.000000;15.663404;15.394149;14.320320
220.2;14.000000;15.633868;15.358933;14.264442
225.2;14.000000;15.604398;15.323808;14.208833
230.2;14.000000;15.574994;15.288774;14.153492
235.2;14.000000;15.545657;15.253831;14.098417
240.1;14.000000;15.545657;15.253831;14.098417
240.2;14.000000;15.516386;15.218978;14.043608
245.2;14.000000;15.487181;15.184216;13.989062
250.2;14.000000;15.458042;15.149544;13.934779
