Mode Speed Time Overshoot mmOvershoot
0 1 1.26201 0.000197 0.197000000000003
0 1.5 1.28901 0.000159 0.158999999999992
0 2 1.31701 6.60000000000105E-05 0.066000000000011
0 2.5 1.34201 7.39999999999907E-05 0.073999999999991
0 3 1.37001 2.59999999999982E-05 0.025999999999998
1 0 1.25001 0.000541 0.540999999999986
2 0.02 1.50401 0.000171 0.171000000000004
2 0.04 1.33301 0.000204 0.20400000000001
2 0.06 1.26101 0.000254 0.254000000000004
2 0.08 1.22101 0.000318 0.317999999999985
2 0.1 1.20401 0.000306 0.306000000000001
2 0.12 1.20001 0.000347 0.346999999999986
2 0.14 1.19601 0.000372 0.372000000000011
2 0.16 1.19201 0.000359 0.358999999999998
2 0.18 1.18801 0.000471 0.470999999999999
2 0.2 1.18401 0.000495 0.494999999999995
