nodes,mediumfloor,floor
1,1,1
2,1.88746166335919,2.58078974286897
3,2.59546492976231,3.92449554653462
4,3.30457605504315,5.45111122135133
5,3.89511631914527,6.40736489556861
6,4.22048057407944,7.44416541894888
7,4.52964135078358,7.88526514786629
8,3.90566322931712,8.55884866112859
9,5.15368635204447,8.64223801939686
10,5.18967490944864,9.15002695814136
11,4.9592183157684,9.52594065512726
12,5.33112923968453,9.58440926853621
13,5.55783149186754,10.0135421711577
14,5.23185342248354,10.1647773498942
15,nan,10.0620436067008
16,nan,10.2839049395491
