nodes,avgSpeedSimple,minSpeedUpSimple,maxSpeedUpSimple,avgSpeedUpSimple,avgSpeedComplexSingle,minSpeedUpComplexSingle,maxSpeedUpComplexSingle,avgSpeedUpComplexSingle,avgSpeedComplexMulti,minSpeedUpComplexMulti,maxSpeedUpComplexMulti,avgSpeedUpComplexMulti
1,227.02,1,1,1,266.543333333333,1,1,1,295.513333333333,1,1,1
1,300.47,1,1,1,344.973333333333,1,1,1,489.523333333333,1,1,1
1,245.936666666667,1,1,1,301.033333333333,1,1,1,353.393333333333,1,1,1
1,307.716666666667,1,1,1,350.846666666667,1,1,1,418.25,1,1,1
1,282.536666666667,1,1,1,343.086666666667,1,1,1,414.46,1,1,1
1,287.603333333333,1,1,1,325.546666666667,1,1,1,417.716666666667,1,1,1
1,277.43,1,1,1,331.363333333333,1,1,1,363.616666666667,1,1,1
1,280.186666666667,1,1,1,338.913333333333,1,1,1,360.4,1,1,1
1,251.033333333333,1,1,1,303.183333333333,1,1,1,412.146666666667,1,1,1
1,286.326666666667,1,1,1,333.62,1,1,1,422.616666666667,1,1,1
1,321.32,1,1,1,374.683333333333,1,1,1,439.506666666667,1,1,1
1,340.69,1,1,1,383.883333333333,1,1,1,447.836666666667,1,1,1
1,320.14,1,1,1,377.446666666667,1,1,1,588.623333333333,1,1,1
1,443.943333333333,1,1,1,505.386666666667,1,1,1,887.676666666667,1,1,1
1,314.596666666667,1,1,1,383.43,1,1,1,463.693333333333,1,1,1
1,346.803333333333,1,1,1,400.003333333333,1,1,1,488.576666666667,1,1,1
1,363.966666666667,1,1,1,408.603333333333,1,1,1,478.373333333333,1,1,1
1,310.383333333333,1,1,1,357.843333333333,1,1,1,415.223333333333,1,1,1
1,307.343333333333,1,1,1,368.106666666667,1,1,1,443.576666666667,1,1,1
2,105.836666666667,2.14500330698246,2.32373783502882,2.23437057100564,121.086666666667,2.20126080493311,2.48609811154545,2.34367945823928,133.056666666667,2.22095848886439,2.65596111932259,2.43845980409349
3,79.28,3.16641439623276,3.56378237470569,3.40985536495123,91.0366666666667,3.33034308520376,3.63988868953901,3.51540893168809,112.01,3.6795524209148,3.73404160342826,3.70459978771737
4,64.99,4.26881058624404,4.73483099964097,4.49358875724471,75.42,4.42349509413949,4.5740298771325,4.51005480420755,69.23,4.26857335451875,5.25229909961962,4.95783379074582
5,50.29,4.51421753827799,5.71889706369722,5.27768277324849,63.07,4.80709264838011,5.67374874478093,5.29184503990275,65.9866666666667,4.47837947060012,6.33031925641544,5.42727823802789
6,42.7,5.31662763466042,6.73544106167057,6.15966692688004,53.7966666666667,6.20149947332549,6.96480575004647,6.51646116033625,67.1566666666667,6.13709237107262,6.66853625850003,6.39245710693073
7,49.63,6.19269259184633,8.94506011149171,6.92892163917753,49.2,5.41754742547426,7.61551490514905,6.68656600851723,57.8066666666667,5.11209779725522,7.31086379886979,6.4957411404188
8,43.95,6.31240045506257,10.1010997345468,7.57553090633296,44.2,6.03039215686275,8.47699849170438,7.55361990950226,46.53,6.35102801060248,9.96547030589584,8.30693459416864
9,38.0266666666667,7.29566970546985,11.6745266479663,8.68075035063114,38.6133333333333,7.85177831491713,10.3592023480663,9.24708410067526,42.1233333333333,9.78428424467833,11.6211917385455,10.6360950647569
10,34.2766666666667,6.6231644461733,9.37430710882038,8.29878440143927,39.7,7.63685978169606,10.2922753988245,9.12380352644836,51.05,8.07339209924911,9.58909565785178,8.80694090760692
11,34.1866666666667,6.64060062402496,9.39898595943838,8.38149730534676,40.6166666666667,7.46450553959787,12.4428395568322,9.23834073189838,53.1333333333333,7.75683814303639,11.0782308657466,8.69949811794229
12,34.3533333333333,6.60838346594217,9.91723267999224,8.26768387347177,41.3666666666667,7.32917002417405,12.2172441579371,9.05649341928552,48.7033333333333,6.06762028608583,10.051125864075,8.2728423790295
13,34.94,6.49742415569548,9.75071551230681,8.20837919950685,38.5266666666667,6.91841148987714,9.96409413393321,8.73545463015959,48.4633333333333,8.50429878258477,12.1457459247541,9.40029734348463
14,34.9433333333333,6.49680434989984,10.4159114757226,8.59217644894455,37.86,7.04023595703469,13.3488290191935,9.20781450456569,44.04,9.35846200423857,13.3656524371783,10.2830597725012
15,35.6033333333333,6.37636925381519,12.4691508285741,8.40174140998034,39.28,6.78572640868975,12.8662593346911,9.22929961529758,39.6166666666667,7.45931846865797,22.4066470340766,11.4008806618988
16,35.0266666666667,6.48134754472783,10.3911305671869,8.48242410544347,37.8566666666667,7.04085585982214,13.3500044025711,9.35096746499956,33.2766666666667,10.8304116998898,17.6887709105479,13.2678177902434
